Entry_ID,Date,Grid_ID,Lat_Min,Lat_Max,Lon_Min,Lon_Max,T_degC,Salnty,O2ml_L,O2Sat,ChlorA,Phaeop,NO3uM
46,01/06/2017,grid496,32.507,32.551,-118.234,-118.182,15.859,33.385,5.648,100.017,0.375,0.127,0.0
47,01/06/2017,grid521,32.638,32.681,-117.924,-117.872,15.726,33.389,5.655,99.865,0.568,0.045,0.0
48,01/06/2017,grid556,32.812,32.855,-117.561,-117.51,15.33,33.339,5.71,100.015,0.758,0.17,0.0
49,01/06/2017,grid575,32.899,32.942,-117.406,-117.354,15.344,33.343,5.76,100.94,0.618,0.192,0.0
50,01/06/2017,grid587,32.942,32.986,-117.354,-117.302,15.09,33.314,5.777,100.695,0.946,0.313,0.02
51,01/06/2017,grid588,32.942,32.986,-117.302,-117.251,15.275,33.334,5.767,100.903,0.754,0.231,0.077
52,01/06/2017,grid630,33.203,33.246,-117.51,-117.458,14.775,33.289,5.653,97.897,1.328,0.346,1.113
53,01/06/2020,grid363,31.812,31.855,-119.58,-119.528,15.765,33.49,5.663,100.16,0.328,0.096,0.0
54,01/06/2020,grid387,31.986,32.029,-119.269,-119.217,15.751,33.527,5.661,100.12,0.49,0.158,0.0
55,01/06/2020,grid422,32.159,32.203,-118.907,-118.855,15.636,33.561,5.708,100.75,0.708,0.242,0.0
56,01/06/2020,grid464,32.333,32.377,-118.596,-118.545,15.883,33.505,5.665,100.44,0.288,0.098,0.0
57,01/06/2020,grid496,32.507,32.551,-118.234,-118.182,15.497,33.52,5.775,101.61,0.278,0.069,0.0
58,01/07/1978,grid448,32.246,32.29,-117.147,-117.095,16.313,33.484,5.73,102.433,0.56,0.24,0.033
59,01/07/1984,grid403,32.072,32.116,-120.667,-120.615,15.76,33.445,5.78,102.2,0.135,0.05,0.3
60,01/07/1984,grid404,32.072,32.116,-120.563,-120.511,15.683,33.437,5.747,101.467,0.133,0.06,0.3
61,01/07/1984,grid449,32.29,32.333,-121.754,-121.702,15.287,33.242,5.843,102.233,0.167,0.063,0.0
62,01/07/1984,grid469,32.377,32.42,-119.994,-119.942,14.88,33.367,5.92,102.767,0.17,0.09,0.3
63,01/07/1984,grid516,32.638,32.681,-121.081,-121.029,15.03,33.253,5.963,103.8,0.17,0.053,0.0
64,01/07/1984,grid519,32.638,32.681,-119.476,-119.425,14.76,33.416,6.005,104.0,0.375,0.235,0.25
65,01/07/1984,grid592,32.986,33.029,-120.356,-120.304,15.015,33.329,5.965,103.85,0.185,0.065,0.0
66,01/07/1995,grid279,31.159,31.203,-120.925,-120.874,14.918,33.411,5.8,100.8,0.54,0.22,0.1
67,01/07/1995,grid323,31.507,31.551,-120.304,-120.253,15.01,33.244,5.78,100.5,0.273,0.13,0.1
68,01/07/1995,grid363,31.812,31.855,-119.58,-119.528,15.333,33.287,5.777,101.167,0.237,0.123,0.1
69,01/07/2000,grid575,32.899,32.942,-117.406,-117.354,14.347,33.6,6.007,103.333,1.527,0.75,0.233
70,01/07/2000,grid587,32.942,32.986,-117.354,-117.302,13.978,33.603,5.948,101.525,1.685,0.825,1.075
71,01/07/2001,grid588,32.942,32.986,-117.302,-117.251,14.56,33.578,6.045,104.4,1.62,0.56,0.1
72,01/07/2004,grid279,31.159,31.203,-120.925,-120.874,15.28,33.166,5.805,101.5,0.525,0.195,0.0
73,01/07/2004,grid323,31.507,31.551,-120.304,-120.253,15.057,32.919,5.79,100.6,0.253,0.093,0.0
74,01/07/2004,grid363,31.812,31.855,-119.58,-119.528,15.25,33.162,5.775,100.85,0.435,0.19,0.1
75,01/07/2004,grid387,31.986,32.029,-119.269,-119.217,15.15,33.049,5.807,101.167,0.373,0.153,0.1
76,01/07/2004,grid422,32.159,32.203,-118.907,-118.855,15.305,33.141,5.8,101.4,0.425,0.185,0.0
77,01/07/2005,grid140,29.812,29.855,-123.617,-123.565,16.683,33.346,5.573,100.3,0.14,0.033,0.0
78,01/07/2005,grid168,30.159,30.203,-122.944,-122.892,15.59,33.063,5.71,100.4,0.17,0.07,0.0
79,01/07/2005,grid207,30.507,30.551,-122.271,-122.219,16.4,33.292,5.6,100.2,0.14,0.04,0.0
80,01/07/2008,grid587,32.942,32.986,-117.354,-117.302,13.02,33.471,5.567,93.1,1.367,0.72,5.8
81,01/07/2008,grid588,32.942,32.986,-117.302,-117.251,13.14,33.461,5.627,94.333,1.23,0.717,5.2
82,01/07/2016,grid587,32.942,32.986,-117.354,-117.302,16.252,33.52,5.476,97.803,0.55,0.234,0.19
83,01/07/2016,grid588,32.942,32.986,-117.302,-117.251,16.118,33.457,5.495,97.85,0.619,0.306,0.225
84,01/07/2016,grid630,33.203,33.246,-117.51,-117.458,16.131,33.604,5.497,98.0,0.662,0.286,0.4
85,01/07/2017,grid279,31.159,31.203,-120.925,-120.874,16.764,33.323,5.528,99.625,0.161,0.055,0.0
86,01/07/2017,grid324,31.507,31.551,-120.253,-120.201,15.502,33.287,5.71,100.328,0.421,0.122,0.0
87,01/07/2017,grid363,31.812,31.855,-119.58,-119.528,15.569,33.317,5.713,100.545,0.368,0.076,0.0
88,01/07/2017,grid387,31.986,32.029,-119.269,-119.217,16.127,33.363,5.602,99.73,0.226,0.07,0.0
89,01/07/2017,grid422,32.159,32.203,-118.907,-118.855,15.554,33.365,5.671,99.8,0.462,0.179,0.13
90,01/07/2020,grid168,30.159,30.203,-122.944,-122.892,16.472,33.377,5.62,100.72,0.144,0.046,0.0
91,01/07/2020,grid207,30.507,30.551,-122.271,-122.219,16.58,33.443,5.594,100.51,0.138,0.053,0.0
92,01/07/2020,grid238,30.812,30.855,-121.598,-121.547,15.598,33.161,5.71,100.46,0.204,0.07,0.0
93,01/07/2020,grid279,31.159,31.203,-120.925,-120.874,16.135,33.361,5.646,100.523,0.17,0.045,0.033
94,01/08/1978,grid258,30.986,31.029,-118.131,-118.079,17.27,33.465,5.69,103.65,0.17,0.01,0.0
95,01/08/1978,grid303,31.333,31.377,-117.458,-117.406,16.765,33.434,5.74,103.5,0.375,0.04,0.5
96,01/08/1978,grid327,31.507,31.551,-117.147,-117.095,16.705,33.438,5.755,103.65,0.13,0.06,0.15
97,01/08/1978,grid345,31.638,31.681,-116.785,-116.733,16.79,33.46,5.72,103.2,0.225,0.11,0.05
98,01/08/1984,grid305,31.377,31.42,-122.012,-121.961,16.125,33.259,5.725,101.85,0.12,0.045,0.0
99,01/08/1984,grid337,31.638,31.681,-123.099,-123.048,16.203,33.348,5.703,101.633,0.14,0.043,0.0
100,01/08/1984,grid354,31.725,31.768,-121.34,-121.288,15.965,33.264,5.835,103.5,0.115,0.045,0.0
101,01/08/1984,grid385,31.986,32.029,-122.426,-122.375,16.175,33.358,5.73,102.1,0.155,0.035,0.0
102,01/08/1984,grid394,32.029,32.072,-120.667,-120.615,15.707,33.43,5.757,101.633,0.137,0.063,0.0
103,01/08/1984,grid403,32.072,32.116,-120.667,-120.615,15.815,33.454,5.785,102.4,0.165,0.06,0.0
104,01/08/1984,grid426,32.203,32.246,-123.513,-123.462,16.543,33.419,5.705,102.433,0.11,0.033,0.0
105,01/08/1991,grid587,32.942,32.986,-117.354,-117.302,15.023,33.544,5.803,101.167,0.57,0.24,0.1
106,01/08/1995,grid168,30.159,30.203,-122.944,-122.892,16.74,33.53,5.61,101.167,0.13,0.05,0.0
107,01/08/1995,grid207,30.507,30.551,-122.271,-122.219,15.85,33.329,5.69,100.7,0.157,0.06,0.0
108,01/08/1995,grid238,30.812,30.855,-121.598,-121.547,15.557,33.297,5.76,101.333,0.17,0.08,0.0
109,01/08/2000,grid422,32.159,32.203,-118.907,-118.855,14.01,33.559,6.033,103.033,0.833,0.317,1.367
110,01/08/2000,grid464,32.333,32.377,-118.596,-118.545,14.873,33.619,5.943,103.3,0.913,0.45,0.1
111,01/08/2000,grid496,32.507,32.551,-118.234,-118.182,14.52,33.555,5.985,103.3,0.655,0.265,0.1
112,01/08/2000,grid521,32.638,32.681,-117.924,-117.872,14.037,33.536,6.0,102.5,0.66,0.233,1.067
113,01/08/2000,grid556,32.812,32.855,-117.561,-117.51,13.99,33.595,5.705,97.5,1.19,0.725,2.45
114,01/08/2001,grid464,32.333,32.377,-118.596,-118.545,15.23,33.616,5.89,103.1,0.24,0.09,0.0
115,01/08/2001,grid496,32.507,32.551,-118.234,-118.182,15.71,33.586,5.763,101.867,0.19,0.05,0.0
116,01/08/2001,grid529,32.681,32.725,-117.924,-117.872,15.405,33.582,5.985,105.15,0.185,0.05,0.0
117,01/08/2001,grid556,32.812,32.855,-117.561,-117.51,15.495,33.57,5.805,102.15,0.215,0.065,0.0
118,01/08/2001,grid575,32.899,32.942,-117.406,-117.354,15.03,33.57,5.91,103.0,0.885,0.37,0.05
119,01/08/2004,grid168,30.159,30.203,-122.944,-122.892,16.477,33.064,5.607,100.333,0.16,0.053,0.0
120,01/08/2004,grid207,30.507,30.551,-122.271,-122.219,15.447,32.96,5.737,100.5,0.193,0.063,0.0
121,01/08/2004,grid238,30.812,30.855,-121.598,-121.547,15.42,32.976,5.767,100.967,0.227,0.08,0.0
122,01/08/2005,grid188,30.377,30.42,-124.031,-123.979,16.31,33.25,5.627,100.467,0.12,0.04,0.0
123,01/08/2005,grid227,30.725,30.768,-123.358,-123.306,16.01,33.134,5.65,100.2,0.12,0.05,0.0
124,01/08/2005,grid266,31.072,31.116,-122.685,-122.633,14.72,32.886,5.83,100.6,0.237,0.093,0.0
125,01/08/2005,grid305,31.377,31.42,-122.012,-121.961,14.71,33.044,5.845,100.9,0.375,0.14,0.0
126,01/08/2008,grid464,32.333,32.377,-118.596,-118.545,14.195,33.584,6.005,102.975,2.668,0.7,0.55
127,01/08/2008,grid496,32.507,32.551,-118.234,-118.182,13.95,33.527,5.88,100.267,2.577,0.757,1.7
128,01/08/2008,grid522,32.638,32.681,-117.872,-117.82,13.675,33.501,5.68,96.3,1.115,0.54,3.05
129,01/08/2008,grid556,32.812,32.855,-117.561,-117.51,13.62,33.459,5.77,97.7,0.885,0.3,2.8
130,01/08/2008,grid575,32.899,32.942,-117.406,-117.354,13.253,33.494,5.563,93.5,1.343,0.697,5.733
131,01/08/2009,grid496,32.507,32.551,-118.234,-118.182,14.58,33.396,6.045,104.35,1.045,0.4,0.0
132,01/08/2009,grid522,32.638,32.681,-117.872,-117.82,14.285,33.372,5.98,102.575,0.932,0.308,0.025
133,01/08/2009,grid556,32.812,32.855,-117.561,-117.51,14.363,33.382,5.98,102.733,0.923,0.31,0.0
134,01/08/2009,grid575,32.899,32.942,-117.406,-117.354,14.133,33.366,6.027,103.067,1.193,0.513,0.0
135,01/08/2009,grid587,32.942,32.986,-117.354,-117.302,14.077,33.363,6.027,102.967,1.263,0.633,0.133
136,01/08/2009,grid588,32.942,32.986,-117.302,-117.251,13.707,33.332,5.893,99.867,1.873,0.707,1.067
137,01/08/2009,grid638,33.246,33.29,-117.51,-117.458,13.83,33.341,6.08,103.3,2.02,0.65,0.4
138,01/08/2016,grid422,32.159,32.203,-118.907,-118.855,16.38,33.619,5.464,97.91,0.59,0.222,0.405
139,01/08/2016,grid464,32.333,32.377,-118.596,-118.545,16.629,33.665,5.485,98.793,0.606,0.306,0.093
140,01/08/2016,grid496,32.507,32.551,-118.234,-118.182,16.781,33.694,5.303,95.81,0.523,0.277,0.713
141,01/08/2016,grid530,32.681,32.725,-117.872,-117.82,16.58,33.647,5.382,96.835,0.436,0.202,0.51
142,01/08/2016,grid556,32.812,32.855,-117.561,-117.51,16.191,33.597,5.482,97.85,0.494,0.234,0.39
143,01/08/2016,grid575,32.899,32.942,-117.406,-117.354,16.349,33.616,5.48,98.135,0.473,0.228,0.39
144,01/08/2017,grid168,30.159,30.203,-122.944,-122.892,17.353,33.379,5.466,99.673,0.115,0.027,0.0
145,01/08/2017,grid207,30.507,30.551,-122.271,-122.219,16.399,33.226,5.568,99.575,0.138,0.04,0.0
146,01/08/2017,grid238,30.812,30.855,-121.598,-121.547,16.441,33.247,5.575,99.785,0.132,0.039,0.0
147,01/08/2020,grid140,29.812,29.855,-123.617,-123.565,17.664,33.916,5.466,100.59,0.114,0.03,0.0
148,01/08/2020,grid188,30.377,30.42,-124.031,-123.979,16.042,33.258,5.664,100.59,0.057,0.145,0.0
149,01/08/2020,grid227,30.725,30.768,-123.358,-123.306,15.496,33.089,5.744,100.81,0.041,0.196,0.315
150,01/08/2020,grid266,31.072,31.116,-122.685,-122.633,14.828,33.301,5.839,101.24,0.077,0.562,0.0
151,01/09/1984,grid206,30.507,30.551,-122.323,-122.271,16.93,33.428,5.64,102.0,0.11,0.04,0.2
152,01/09/1984,grid238,30.812,30.855,-121.598,-121.547,17.35,33.553,5.54,101.1,0.105,0.035,0.2
153,01/09/1984,grid266,31.072,31.116,-122.685,-122.633,16.577,33.343,5.673,101.9,0.097,0.04,0.1
154,01/09/1984,grid273,31.116,31.159,-120.925,-120.874,17.503,33.603,5.57,102.0,0.09,0.04,0.1
155,01/09/1984,grid426,32.203,32.246,-123.513,-123.462,16.578,33.419,5.658,101.66,0.11,0.034,0.02
156,01/09/1984,grid498,32.551,32.594,-122.84,-122.789,16.463,33.383,5.857,104.967,0.107,0.023,0.0
157,01/09/1984,grid566,32.899,32.942,-122.168,-122.116,14.695,33.196,6.005,103.75,0.23,0.055,0.0
158,01/09/1991,grid422,32.159,32.203,-118.907,-118.855,14.28,33.536,5.937,101.933,0.8,0.25,0.233
159,01/09/1991,grid464,32.333,32.377,-118.596,-118.545,15.88,33.576,5.697,101.05,0.203,0.06,0.0
160,01/09/1991,grid496,32.507,32.551,-118.234,-118.182,15.797,33.578,5.7,100.9,0.22,0.07,0.1
161,01/09/1991,grid522,32.638,32.681,-117.872,-117.82,15.603,33.652,5.71,100.767,0.26,0.1,0.0
162,01/09/1991,grid556,32.812,32.855,-117.561,-117.51,15.23,33.568,5.797,101.467,0.437,0.143,0.033
163,01/09/1991,grid575,32.899,32.942,-117.406,-117.354,15.107,33.565,5.82,101.633,0.33,0.143,0.0
164,01/09/1995,grid144,29.855,29.899,-123.617,-123.565,16.353,33.361,5.687,101.7,0.13,0.05,0.0
165,01/09/1995,grid192,30.42,30.464,-124.031,-123.979,16.663,33.518,5.61,101.0,0.13,0.06,0.0
166,01/09/1995,grid227,30.725,30.768,-123.358,-123.306,15.413,33.253,5.76,101.0,0.21,0.1,0.1
167,01/09/1995,grid266,31.072,31.116,-122.685,-122.633,15.37,33.281,5.783,101.333,0.213,0.093,0.067
168,01/09/1999,grid575,32.899,32.942,-117.406,-117.354,14.458,33.464,5.902,101.65,0.37,0.135,0.075
169,01/09/1999,grid587,32.942,32.986,-117.354,-117.302,14.107,33.481,5.87,100.433,0.973,0.607,1.233
170,01/09/2000,grid279,31.159,31.203,-120.925,-120.874,14.457,33.385,5.933,102.133,0.263,0.083,0.0
171,01/09/2000,grid323,31.507,31.551,-120.304,-120.253,15.19,33.501,5.8,101.4,0.29,0.09,0.0
172,01/09/2000,grid363,31.812,31.855,-119.58,-119.528,14.223,33.423,5.95,102.0,0.53,0.17,0.3
173,01/09/2000,grid387,31.986,32.029,-119.269,-119.217,14.188,33.416,5.99,102.6,0.53,0.155,0.2
174,01/09/2001,grid362,31.812,31.855,-119.632,-119.58,14.98,33.514,5.833,101.567,0.35,0.14,0.1
175,01/09/2001,grid422,32.159,32.203,-118.907,-118.855,15.287,33.597,5.87,102.9,0.223,0.077,0.0
176,01/09/2004,grid140,29.812,29.855,-123.617,-123.565,16.7,33.135,5.6,100.7,0.22,0.067,0.0
177,01/09/2004,grid188,30.377,30.42,-124.031,-123.979,16.82,33.196,5.57,100.4,0.26,0.1,0.0
178,01/09/2004,grid227,30.725,30.768,-123.358,-123.306,16.19,33.017,5.647,100.4,0.153,0.043,0.0
179,01/09/2004,grid266,31.072,31.116,-122.685,-122.633,16.317,33.016,5.637,100.5,0.157,0.05,0.0
180,01/09/2005,grid354,31.725,31.768,-121.34,-121.288,14.78,33.013,5.84,101.0,0.32,0.11,0.0
181,01/09/2005,grid403,32.072,32.116,-120.667,-120.615,14.78,33.011,5.81,100.45,0.34,0.13,0.0
182,01/09/2005,grid469,32.377,32.42,-119.994,-119.942,15.038,33.08,5.778,100.45,0.398,0.158,0.0
183,01/09/2005,grid519,32.638,32.681,-119.476,-119.425,14.853,33.086,5.817,100.767,0.497,0.157,0.0
184,01/09/2008,grid324,31.507,31.551,-120.253,-120.201,13.833,33.307,5.91,100.4,0.657,0.217,1.767
185,01/09/2008,grid363,31.812,31.855,-119.58,-119.528,14.51,33.272,5.86,100.9,0.565,0.145,0.1
186,01/09/2008,grid387,31.986,32.029,-119.269,-119.217,13.56,33.434,5.87,99.25,0.8,0.32,2.8
187,01/09/2008,grid422,32.159,32.203,-118.907,-118.855,14.13,33.523,5.83,99.8,0.803,0.31,1.467
188,01/09/2009,grid324,31.507,31.551,-120.253,-120.201,13.85,33.335,5.933,100.867,0.467,0.17,0.6
189,01/09/2009,grid363,31.812,31.855,-119.58,-119.528,14.35,33.345,5.845,100.4,0.61,0.22,0.2
190,01/09/2009,grid387,31.986,32.029,-119.269,-119.217,14.433,33.338,5.807,99.9,0.59,0.19,0.3
191,01/09/2009,grid422,32.159,32.203,-118.907,-118.855,14.165,33.364,6.0,102.7,1.03,0.32,0.0
192,01/09/2009,grid464,32.333,32.377,-118.596,-118.545,13.61,33.356,6.043,102.267,0.61,0.203,1.033
193,01/09/2016,grid279,31.159,31.203,-120.925,-120.874,16.681,33.415,5.547,99.857,0.171,0.052,0.0
194,01/09/2016,grid324,31.507,31.551,-120.253,-120.201,15.768,33.35,5.65,99.86,0.236,0.074,0.0
195,01/09/2016,grid363,31.812,31.855,-119.58,-119.528,15.698,33.344,5.651,99.725,0.362,0.136,0.045
196,01/09/2016,grid387,31.986,32.029,-119.269,-119.217,15.676,33.401,5.658,99.85,0.618,0.276,0.095
197,01/09/2017,grid140,29.812,29.855,-123.617,-123.565,17.763,33.423,5.426,99.765,0.104,0.02,0.0
198,01/09/2017,grid188,30.377,30.42,-124.031,-123.979,17.71,33.439,5.44,99.93,0.114,0.029,0.0
199,01/09/2017,grid227,30.725,30.768,-123.358,-123.306,17.274,33.379,5.483,99.825,0.112,0.03,0.0
200,01/09/2017,grid266,31.072,31.116,-122.685,-122.633,16.752,33.219,5.543,99.807,0.126,0.036,0.0
201,01/09/2017,grid305,31.377,31.42,-122.012,-121.961,16.053,33.198,5.658,100.455,0.169,0.042,0.0
202,01/09/2020,grid305,31.377,31.42,-122.012,-121.961,15.007,33.252,5.827,101.36,0.083,0.313,0.0
203,01/09/2020,grid354,31.725,31.768,-121.34,-121.288,15.292,33.245,5.746,100.53,0.06,0.237,0.0
204,01/09/2020,grid403,32.072,32.116,-120.667,-120.615,15.053,33.344,5.743,100.053,0.098,0.43,0.0
205,01/09/2020,grid469,32.377,32.42,-119.994,-119.942,14.35,33.324,5.868,100.76,0.118,0.862,0.155
206,01/10/1984,grid317,31.464,31.507,-120.304,-120.253,16.025,33.299,5.735,101.8,0.135,0.045,0.0
207,01/10/1984,grid363,31.812,31.855,-119.58,-119.528,15.815,33.398,5.78,102.25,0.125,0.055,0.0
208,01/10/1984,grid387,31.986,32.029,-119.269,-119.217,15.887,33.491,5.743,101.833,0.253,0.1,0.0
209,01/10/1984,grid417,32.116,32.159,-118.907,-118.855,15.955,33.466,5.78,102.6,0.355,0.17,0.0
210,01/10/1984,grid464,32.333,32.377,-118.596,-118.545,16.123,33.473,5.803,103.367,0.257,0.1,0.0
211,01/10/1984,grid631,33.246,33.29,-121.495,-121.443,14.773,33.208,6.017,104.133,0.243,0.05,0.0
212,01/10/1984,grid683,33.551,33.594,-120.77,-120.718,14.525,33.445,5.955,102.7,0.785,0.27,0.5
213,01/10/1984,grid711,33.725,33.768,-120.46,-120.408,14.923,33.429,5.887,102.333,0.457,0.163,0.4
214,01/10/1984,grid731,33.855,33.899,-120.149,-120.097,14.543,33.443,5.603,96.7,0.55,0.3,2.067
215,01/10/1984,grid778,34.246,34.29,-119.942,-119.89,15.167,33.414,5.963,104.2,0.73,0.24,0.0
216,01/10/1991,grid324,31.507,31.551,-120.253,-120.201,14.993,33.513,5.79,100.867,0.277,0.088,0.033
217,01/10/1991,grid363,31.812,31.855,-119.58,-119.528,14.53,33.55,5.88,101.5,0.533,0.153,0.0
218,01/10/1991,grid387,31.986,32.029,-119.269,-119.217,14.547,33.615,5.87,101.367,0.81,0.257,0.267
219,01/10/1995,grid311,31.42,31.464,-122.012,-121.961,15.827,33.342,5.723,101.267,0.163,0.07,0.0
220,01/10/1995,grid354,31.725,31.768,-121.34,-121.288,14.953,33.142,5.81,100.9,0.243,0.1,0.1
221,01/10/1995,grid403,32.072,32.116,-120.667,-120.615,14.885,33.198,5.845,101.4,0.41,0.145,0.0
222,01/10/1995,grid469,32.377,32.42,-119.994,-119.942,14.917,33.161,5.853,101.567,0.37,0.14,0.0
223,01/10/1999,grid387,31.986,32.029,-119.269,-119.217,14.07,33.476,5.97,102.05,0.335,0.115,0.2
224,01/10/1999,grid422,32.159,32.203,-118.907,-118.855,14.0,33.482,5.967,101.833,0.787,0.36,0.133
225,01/10/1999,grid464,32.333,32.377,-118.596,-118.545,14.175,33.449,6.015,103.0,0.72,0.285,0.05
226,01/10/1999,grid496,32.507,32.551,-118.234,-118.182,13.99,33.443,5.99,102.2,0.79,0.345,0.4
227,01/10/1999,grid521,32.638,32.681,-117.924,-117.872,14.605,33.507,5.885,101.7,0.165,0.07,0.1
228,01/10/1999,grid556,32.812,32.855,-117.561,-117.51,14.26,33.443,5.795,99.4,0.595,0.29,0.95
229,01/10/2000,grid140,29.812,29.855,-123.617,-123.565,16.157,33.477,5.707,101.7,0.12,0.03,0.0
230,01/10/2000,grid168,30.159,30.203,-122.944,-122.892,15.9,33.522,5.727,101.567,0.14,0.03,0.1
231,01/10/2000,grid207,30.507,30.551,-122.271,-122.219,15.65,33.543,5.73,101.1,0.18,0.06,0.0
232,01/10/2000,grid238,30.812,30.855,-121.598,-121.547,14.81,33.334,5.873,101.833,0.2,0.083,0.0
233,01/10/2001,grid207,30.507,30.551,-122.271,-122.219,16.99,33.773,5.57,101.1,0.125,0.035,0.0
234,01/10/2001,grid238,30.812,30.855,-121.598,-121.547,16.663,33.731,5.573,100.5,0.12,0.03,0.0
